id,manufacturer,model,transmission,color,odometer,year,engineFuel,engineType,engineCapacity,bodyType,drivetrain,photos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
14,Toyota,Land Cruiser,automatic,blue,470000,2001,diesel,diesel,3,suv,all,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,Kia,Carens,mechanical,silver,360000,2003,gasoline,gasoline,1.8,minivan,front,4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
16,Fiat,Palio,mechanical,silver,222222,1998,gasoline,gasoline,1.2,universal,front,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,Volkswagen,Passat,mechanical,other,260000,2007,diesel,diesel,2,universal,front,7,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
18,Volkswagen,Passat,automatic,grey,170300,2015,diesel,diesel,1.6,universal,front,12,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
19,Ford,Mondeo,mechanical,black,331522,1995,gasoline,gasoline,2,sedan,front,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,Mercedes-Benz,E300,mechanical,silver,247000,1989,gasoline,gasoline,3,coupe,rear,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
21,Volkswagen,Sharan,mechanical,silver,360000,2000,diesel,diesel,1.9,minivan,front,9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
22,Opel,Vectra,mechanical,green,350000,1998,diesel,diesel,2,sedan,front,8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
23,Ford,Escape,automatic,black,3377,2018,gasoline,gasoline,1.5,suv,front,30,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
24,Ford,Orion,mechanical,green,46798,1986,diesel,diesel,1.6,sedan,front,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
25,Toyota,Land Cruiser,automatic,grey,330000,2006,gasoline,gasoline,4,suv,all,7,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
26,Renault,Sandero,mechanical,other,7200,2018,gasoline,gasoline,1.6,hatchback,front,6,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
27,Audi,100,mechanical,grey,500000,1987,gasoline,gasoline,1.8,sedan,front,11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28,Seat,Cordoba,mechanical,black,300000,2000,gasoline,gasoline,1.6,sedan,front,7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29,Mazda,MX-3,mechanical,blue,240000,1995,gasoline,gasoline,1.6,coupe,front,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
30,Ford,Transit,mechanical,white,285251,1997,diesel,diesel,2.5,minibus,rear,9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
31,Volkswagen,Touareg,automatic,black,382000,2004,diesel,diesel,5,suv,all,28,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
32,Audi,100,mechanical,green,400000,1986,gasoline,gasoline,2.2,sedan,front,9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33,Toyota,Avensis,mechanical,grey,138000,2010,gasoline,gasoline,1.8,sedan,front,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
34,Renault,Megane Scenic,mechanical,other,320000,1998,gasoline,gasoline,1.6,minivan,front,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35,Peugeot,607,mechanical,silver,280000,2001,diesel,diesel,2.2,sedan,front,6,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
36,Nissan,Note,mechanical,black,180000,2008,gasoline,gasoline,1.4,hatchback,front,8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
37,Volkswagen,LT,mechanical,white,450000,2003,diesel,diesel,2.8,minibus,rear,8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
38,Ford,Fiesta,mechanical,blue,380000,1996,diesel,diesel,1.8,hatchback,front,9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,BMW,520,mechanical,other,260000,2001,gasoline,gasoline,2.2,sedan,rear,3,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
40,BMW,528,automatic,green,350000,1997,gasoline,gasoline,2.8,sedan,rear,11,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
41,Volkswagen,Passat,mechanical,silver,420000,1988,gasoline,gasoline,1.8,sedan,front,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
42,Chrysler,Voyager,mechanical,blue,287235,1997,gasoline,gasoline,2.4,minivan,front,7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
43,Peugeot,Partner,mechanical,other,200000,2002,gasoline,gasoline,1.6,minivan,front,9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
44,Chevrolet,Equinox,automatic,brown,20000,2017,gasoline,gasoline,1.5,suv,all,13,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
45,Volkswagen,Passat,mechanical,silver,500000,1999,diesel,diesel,1.9,universal,front,10,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
46,Opel,Corsa,mechanical,blue,162600,2009,gasoline,gasoline,1.2,hatchback,front,9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
47,Mercedes-Benz,A140,mechanical,silver,355288,1998,gasoline,gasoline,1.4,hatchback,front,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
48,Audi,A6,mechanical,silver,450000,1996,gasoline,gasoline,2.6,sedan,front,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
49,Hyundai,Accent,automatic,white,8965,2017,gasoline,gasoline,1.6,sedan,front,16,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
50,Citroen,C-Crosser,mechanical,black,192000,2009,diesel,diesel,2.2,suv,all,3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
51,Skoda,Octavia,mechanical,grey,159000,2009,gasoline,gasoline,1.8,universal,front,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
52,Volkswagen,Passat,mechanical,grey,337500,1992,gasoline,gasoline,2,universal,front,24,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
53,Ford,Mondeo,mechanical,grey,340000,2002,gasoline,gasoline,1.8,sedan,front,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
54,Kia,Cee'd,mechanical,black,200000,2008,gasoline,gasoline,1.6,universal,front,6,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
55,BMW,X5,automatic,black,55000,2002,diesel,diesel,3,suv,all,7,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
56,Citroen,C8,mechanical,blue,300000,2003,diesel,diesel,2.2,minivan,front,7,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
57,Renault,Laguna,mechanical,blue,240000,1998,gasoline,gasoline,1.8,universal,front,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58,Ford,Transit,mechanical,white,350000,1996,diesel,diesel,2.5,minibus,rear,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,Audi,100,mechanical,blue,320000,1985,gasoline,gasoline,2.2,sedan,all,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
60,Audi,A6,mechanical,green,234600,1998,gasoline,gasoline,2.4,sedan,front,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
61,Volkswagen,LT,mechanical,blue,800000,1992,diesel,diesel,2.4,minibus,rear,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
62,BMW,525,automatic,other,246000,2003,gasoline,gasoline,2.5,sedan,rear,4,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
63,Lifan,Cebrium,mechanical,black,96000,2015,gasoline,gasoline,1.8,sedan,front,5,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
64,Cadillac,Escalade,automatic,brown,482453,2012,gasoline,gasoline,6.2,universal,all,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
65,Ford,Focus,mechanical,black,146000,2008,gasoline,gasoline,1.8,hatchback,front,8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
66,Renault,Grand Espace,mechanical,white,235000,2005,diesel,diesel,2.2,minivan,front,18,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
67,Mazda,Demio,mechanical,silver,247567,2000,gasoline,gasoline,1.3,hatchback,front,9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
68,Kia,Spectra,mechanical,white,209000,2006,gasoline,gasoline,1.6,sedan,front,15,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
69,Audi,A6,automatic,other,255000,2002,diesel,diesel,2.5,universal,front,13,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
70,Subaru,Forester,automatic,black,233000,2000,gasoline,gasoline,2,universal,all,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
71,Mercedes-Benz,ML350,automatic,black,111000,2013,gasoline,gasoline,3.5,suv,front,18,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
72,Volkswagen,Passat,mechanical,grey,195000,2010,diesel,diesel,2,universal,front,8,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
73,Toyota,Prius,automatic,black,220000,2010,hybrid-petrol,gasoline,1.8,hatchback,front,9,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
74,Audi,A6,mechanical,blue,350000,1996,gasoline,gasoline,2.8,sedan,front,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
75,Volkswagen,Golf,mechanical,red,350000,1986,gasoline,gasoline,1.3,hatchback,front,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
76,BMW,118,automatic,black,106000,2011,diesel,diesel,2,hatchback,rear,11,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
77,Nissan,Almera,mechanical,other,315000,2001,gasoline,gasoline,1.5,hatchback,front,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
78,Peugeot,206,mechanical,green,241000,2000,gasoline,gasoline,1.1,hatchback,front,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
79,Fiat,Marea,mechanical,grey,179000,1997,diesel,diesel,1.9,universal,front,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
80,Land Rover,Range Rover Sport,automatic,brown,115000,2014,diesel,diesel,3,suv,all,3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
81,Citroen,DS5,automatic,grey,62000,2013,gasoline,gasoline,1.6,hatchback,front,18,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
82,Renault,Megane Scenic,automatic,silver,239000,1997,gasoline,gasoline,1.6,minivan,front,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
83,Mercedes-Benz,S500,automatic,black,176000,2005,gasoline,gasoline,5.5,sedan,rear,7,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
84,Mercedes-Benz,E300,automatic,black,110000,2014,gasoline,gasoline,3,sedan,all,19,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
85,Volkswagen,Golf,mechanical,blue,300000,2004,gasoline,gasoline,1.6,hatchback,front,11,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
86,Ford,Escape,mechanical,green,296119,2001,gasoline,gasoline,2,suv,front,24,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
87,BMW,X6,automatic,white,105000,2015,gasoline,gasoline,3,suv,all,30,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
88,Citroen,Evasion,mechanical,green,224587,1997,gasoline,gasoline,1.8,minivan,front,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
89,Fiat,Brava,mechanical,violet,345000,1997,gasoline,gasoline,1.6,hatchback,front,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
90,Renault,Espace,mechanical,blue,299000,1997,diesel,diesel,1.9,minivan,front,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
91,Ford,Transit,mechanical,white,450000,1996,diesel,diesel,2.5,van,rear,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
92,Peugeot,307,mechanical,black,315205,2004,diesel,diesel,2,minivan,front,37,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
93,Subaru,XV,automatic,green,200000,2014,gasoline,gasoline,2,hatchback,all,11,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
94,Jeep,Grand Cherokee,automatic,black,260000,2005,gasoline,gasoline,3.7,suv,rear,8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
95,Toyota,Picnic,mechanical,blue,450000,1998,diesel,diesel,2.2,minivan,front,12,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
96,Mazda,6,automatic,black,76000,2014,gasoline,gasoline,2,sedan,front,12,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
97,Volkswagen,Tiguan,automatic,silver,163000,2010,diesel,diesel,2,suv,all,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
98,Ford,Kuga,automatic,white,128000,2013,gasoline,gasoline,1.6,universal,all,9,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
99,Ford,Sierra,mechanical,grey,200000,1990,gasoline,gasoline,2,sedan,rear,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
100,Peugeot,405,mechanical,blue,300,1995,gasoline,gasoline,1.8,sedan,front,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
101,Peugeot,406,mechanical,blue,260000,1996,gasoline,gasoline,1.8,sedan,front,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
102,Mazda,CX-7,automatic,black,151278,2007,gasoline,gasoline,2.3,suv,all,4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
103,Mercedes-Benz,ML280,automatic,silver,265000,2006,diesel,diesel,3,suv,all,11,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104,Audi,A4,automatic,black,355000,2003,diesel,diesel,2.5,universal,front,4,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
105,Audi,Q5,automatic,grey,129000,2010,gasoline,gasoline,2,suv,all,5,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
106,BMW,316,mechanical,red,250000,1993,gasoline,gasoline,1.6,sedan,rear,7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
107,Hyundai,Lantra,mechanical,silver,185500,1997,gasoline,gasoline,1.6,sedan,front,7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
108,Toyota,Land Cruiser,mechanical,black,272000,2004,diesel,diesel,3,suv,all,6,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
109,Audi,S4,automatic,red,103000,2010,gasoline,gasoline,3,sedan,all,16,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
110,Mitsubishi,Colt,automatic,silver,198850,2007,gasoline,gasoline,1.3,hatchback,front,3,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
111,Renault,Megane Scenic,mechanical,green,428000,1997,diesel,diesel,1.9,hatchback,front,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
112,Opel,Vivaro,mechanical,red,285000,2007,diesel,diesel,2.5,minibus,front,14,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
113,Opel,Signum,mechanical,silver,400000,2003,diesel,diesel,3,hatchback,front,8,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
114,BMW,730,automatic,black,325000,1999,diesel,diesel,3,sedan,rear,5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
115,Audi,A4,mechanical,black,298000,2007,diesel,diesel,2,universal,front,8,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
116,Volvo,S80,automatic,black,205000,2007,gasoline,gasoline,2.5,sedan,front,22,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
117,Peugeot,406,mechanical,blue,330000,2000,diesel,diesel,2,sedan,front,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
118,Infiniti,FX,automatic,black,289682,2005,gasoline,gasoline,3.5,suv,all,8,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
119,Mercedes-Benz,C180,mechanical,grey,186,2010,gasoline,gasoline,1.8,sedan,rear,3,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
120,BMW,318,mechanical,other,65000,1995,gasoline,gasoline,1.8,sedan,rear,7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
121,Volkswagen,Polo Sedan,mechanical,silver,23,2019,gasoline,gasoline,1.6,sedan,front,6,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
122,BMW,X4,automatic,black,96357,2015,gasoline,gasoline,2,suv,all,18,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
123,Opel,Vectra,mechanical,violet,500000,1996,diesel,diesel,1.7,sedan,front,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
124,Chevrolet,Malibu,automatic,white,34000,2016,gasoline,gasoline,1.5,sedan,front,34,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
125,BMW,525,automatic,black,316000,2002,diesel,diesel,2.5,universal,rear,16,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
126,Skoda,Felicia,mechanical,white,114000,1998,gasoline,gasoline,1.3,hatchback,front,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
127,BMW,X5,automatic,other,290000,2004,gasoline,gasoline,4.4,suv,all,23,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
128,Volkswagen,Polo,mechanical,silver,90000,2011,gasoline,gasoline,1.4,hatchback,front,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
129,Mercedes-Benz,A140,mechanical,silver,200000,2002,gasoline,gasoline,1.4,hatchback,front,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
130,Fiat,Ulysse,mechanical,green,356000,2001,diesel,diesel,2.1,minivan,front,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
131,Citroen,Xantia,mechanical,white,340000,1999,gasoline,gasoline,1.8,hatchback,front,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
132,Mazda,6,mechanical,silver,149500,2006,gasoline,gasoline,2.3,sedan,all,19,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
133,BMW,X6,automatic,black,53000,2015,gasoline,gasoline,3,coupe,all,49,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
134,Renault,Grand Scenic,mechanical,blue,250000,2004,diesel,diesel,1.5,minivan,front,9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
135,BMW,320,mechanical,red,350000,1993,gasoline,gasoline,1.8,sedan,rear,5,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
136,Toyota,Tundra,automatic,grey,130000,2012,gasoline,gasoline,4,pickup,rear,11,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
137,Audi,Q7,automatic,black,222222,2007,diesel,diesel,4.2,suv,all,9,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
138,Mitsubishi,Colt,mechanical,white,400000,1993,gasoline,gasoline,1.6,hatchback,front,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
139,BMW,320,automatic,green,324000,1995,gasoline,gasoline,2,sedan,rear,15,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
140,Honda,Civic,mechanical,red,350000,1991,gasoline,gasoline,1.5,sedan,front,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
141,Renault,Megane,mechanical,grey,289000,1997,gasoline,gasoline,1.6,sedan,front,19,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
142,Audi,A6,mechanical,black,240000,2008,diesel,diesel,2,universal,front,11,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
143,Audi,80,mechanical,other,392011,1985,gasoline,gasoline,1.6,sedan,front,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
144,Mazda,323,mechanical,silver,279300,2000,diesel,diesel,2,hatchback,front,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
